"nom","adresse","latitude","longitude","id","image"
"Ancien Hôtel du Dragon","2 quai Saint Nicolas","48.57848107258151","7.746509313583374","4","55828"
"Eglise Saint pierre le jeune (catholique)","7 rue Saint Léon","48.58829683135665","7.748762369155884","6","92817"
"Immeuble le Pythagore","43 Route du Polygone","48.56899708320078","7.757216691970825","11","43319"
"Crédit Foncier d'Alsace et de Lorraine","1 Rue du Dôme","48.58415215923924","7.749534845352173","14","76929"
"Gare de Strasbourg","20 Place de la Gare","48.58503931799268","7.7345359325408935","23","80261"
"Poste d'aiguillage","1 square de l' Aiguillage","48.56333139656308","7.752807140350342","26","90681"
"Cathédrale notre dame de Strasbourg","2 Place de la Cathédrale","48.58178869231801","7.750918865203857","33","92817"
"Bains municipal","10 boulevard de la Victoire","48.5836447","7.7602085","35","58670"
"Maison égyptienne","10 Rue du Général Rapp","48.590464","7.7513","36","19610"
"Eglise saint Paul","1 quai Zorn","48.586917","7.7593179","38","92817"
"Cour des boecklin","17 rue nationale","48.6145584","7.7549655","43","102790"
"La Maison Kammerzell","16 Place de la Cathédrale","48.58194129186808","7.749803066253662","45","86721"
"Eglise notre seigneur Jésus Christ","27 rue nationale","48.6154089","7.7555597","53","102781"
"Villa Vénitienne","55 rue de Hochfelden","48.59575851331247","7.727068662643433","61","NULL"
"Ecole du Schlulthfeld","62 rue de saint Dié","48.56804219678209","7.749427556991577","62","92817"
"Directoire et Consistoire de l'Eglise de la Confession d'Augsbourg","1 quai Saint Thomas","48.5791695863722","7.745500802993774","71","74478"
"Lycée internationale des pontonniers","1 rue des Pontonniers","48.58426571642877","7.756562232971191","75","56016"
"Palais du rhin","2 place de la République","48.5875090859361","7.752496004104614","77","69830"
"Gare de marchandise à Cronenbourg","48 chemin Haut","48.5924127788842","7.73187518119812","81","92817"
"Ancienne Strassburger Bank","24 Rue du Vieux Marché aux Vins","48.583928592776736","7.742467224597931","85","5705"
"Gaz de Strasbourg","13 Place des Halles","48.587473","7.742432","91","92817"
"Villa Nuss","3 route d' Oberhausbergen","48.59048967961256","7.723308205604553","106","97510"
"Bâtiment de l'Aubette","31 Place Kléber","48.58391084936435","7.74585485458374","107","55573"
"Villa Haentzler","9 rue Simonis","48.56472930241106","7.758683442327879","108","92817"
"L'esca","28 avenue de la Marseillaise","48.584510249084865","7.757688984655715","111","90195"
"Mairie d'Illkirch","181 route de Lyon","48.52874488369878","7.711034417152405","120","92817"
"Ecole du Ziegelfeld","64 rue de la Grossau","48.5648475","7.7635057","122","4497"
"Ancienne douane","6 rue de la Douane","48.5796848","7.7500286","125","75565"
"Villa Stephan","75 Allée de la Robertsau","48.591965718055704","7.76907205581665","128","87824"
"Opéra National du Rhin","19 place Broglie","48.58584839319844","7.752120494842529","133","61416"
"Bibliothéque Nationale Universitaire (BNU)","6 place de la République","48.58724650140043","7.755693197250366","134","70121"
"Archive municipale","32 Avenue du Rhin","48.572319521444015","7.7630531787872314","135","80024"
"Eglise Saint Florent","2 Place Saint Florent","48.59636519221907","7.722213864326477","136","94618"
"Ancienne commanderie","5 rue du Port du Rhin","48.57690526345975","7.787461280822754","140","92817"
"Maison des Tanneurs","42 Rue du Bain-aux-Plantes","48.58138589826939","7.741807401180267","157","103855"
"Klein Metzig (Petites Boucheries)","4 rue de la Haute Montée","48.5843215","7.7455105","159","55194"
"Galeries Lafayette","2 rue des Francs Bourgeois","48.582590722010075","7.745361328125","160","NULL"
"Salle de la marseillaise","34 boulevard Clémenceau","48.5913192","7.748969","163","71831"
"Siège d'Arte","42 rue Lauth","48.59379651352152","7.766057252883911","165","92817"
"Palais des fêtes","5 rue Sellénick","48.59066709035905","7.749207615852356","171","54941"
"Scala","96 Route du Polygone","48.56549337819642","7.75908887386322","172","78878"
"Restaurant Coucou des bois","44 Allee David Goldschmidt","48.53001312989112","7.773674726486206","173","92817"
"Ancien Hôpital Stéphanie","28 rue de la Lisiere","48.52633974696605","7.770209312438965","182","81826"
"Maison de retraite de la faisanderie","26 rue de la Lisiere","48.525394713683404","7.769436836242676","183","92817"
"Villa Greiner","1 rue Joseph Massol","48.585599994293844","7.75485634803772","185","90897"
"Villa Berst","1 rue de Metzeral","48.57104701079564","7.769750654697418","187","79765"
"Nouvel Hôtel de Police","34 route de l' Hôpital","48.572653173051044","7.749416828155518","195","92817"
"Palais de Justice","11 rue de la Nuée Bleue","48.585981463537976","7.747340798377991","202","63268"
"Presbytère Catholique Saint Jean","13 quai Saint Jean","48.58442185714774","7.740232944488525","205","97558"
"Villa Faist","24 rue Twinger","48.58902069470044","7.769852578639984","212","67021"
"Eglise Saint pierre le jeune (protestant)","5 Place Saint Pierre le Jeune","48.58544385721463","7.746391296386719","213","92817"
"Saint Pierre le vieux (protestant)","12 place Saint Pierre Le Vieux","48.58293850084117","7.740112245082855","214","57502"
"Ecole d'architecture de Strasbourg","8 Boulevard du Président Wilson","48.58606485410551","7.737298607826233","228","92045"
"Parking Saint Aurélie","1 Boulevard de Metz","48.58288881829753","7.732722759246826","229","55700"
"Ancienne glacière de Strasbourg","5 rue des Moulins","48.580645955463495","7.742035388946533","231","102080"
"Belle Maison rasé à neudorf!","12 rue Simonis","48.563792911074074","7.758648991584778","235","1701"
"Hôtel ibis","7 rue de Molsheim","48.57861593684604","7.735308408737183","247","94445"
"Gendarmerie Départementale","2 rue de Molsheim","48.58053948798133","7.735276222229004","252","92817"
"Siège de la direction de l'environnement de la CUS","10 rue de Soleure","48.577508619602355","7.754577398300171","258","65203"
"Hôtel Brion","22 rue Sleidan","48.58574193667453","7.768406867980957","261","99511"
"Consulat de Russie","5 place Sébastien Brant","48.58666987516612","7.762924432754517","262","92817"
"Villa Back","4 place Sébastien Brant","48.586588259844525","7.762640118598938","263","92817"
"Consulat de Roumanie","64 Allée de la Robertsau","48.5908615","7.7686637","267","92817"
"Consulat d'italie","63 Allée de la Robertsau","48.59099352450513","7.768149375915527","270","106400"
"Banque de France","3 place Broglie","48.58489737363862","7.748987674713135","288","105421"
"Hôtel Livio","8 Rue du Dôme","48.5835151696496","7.749953269958496","289","100577"
"Maison Gallay","7 Rue du Dôme","48.5834986","7.7501351","291","92817"
"Hôtel de ville","9 rue Brûlée","48.58460638646645","7.750736474990845","296","70564"
"Hôtel du gouverneur militaire","13 rue Brûlée","48.58493285976451","7.751981019973755","297","96594"
"Eglise protestante du Temple Neuf","19 Place du Temple-Neuf","48.5832614361845","7.748236656188965","300","87418"
"Maison rouge","22 Place Kléber","48.583172717889134","7.7448570728302","301","78601"
"Lycée","5 rue des Renards","48.5933179","7.7187824","310","94594"
"Résidence Tuileries Musau (Maison de Retraite Spécialisée)","14 rue de Gerstheim","48.5657445","7.7800308","317","92817"
"Eglise Saint Guillaume","1 rue Munch","48.5822257","7.7572089","322","NULL"
"Villa Ganss","6 rue des Carmes","48.5704831","7.7586223","323","92817"
"Château de pourtalès","161 rue Mélanie","48.608696380232274","7.7996877619018505","353","73903"
"Université Marc Bloch Sciences Humaines 2","9 place de l' Université","48.584712845382334","7.7620768547058105","360","83694"
"Préfecture du Bas Rhin","5 place de la République","48.58784973411136","7.754974365234375","365","54992"
"Impôts direction Régionale et Départementale","4 place de la République","48.58832521834978","7.754040956497192","366","72237"
"Bain rituel Juif (Miqvé)","17 rue nationale","48.6145584","7.7549655","367","NULL"
"Le neubau (CCI)","10 place Gutenberg","48.5811271","7.7482799","374","64326"
"Etude de Me Priozet","1 rue de la Redoute","48.8105932","7.7958103","387","92817"
"Impôts: Trésorerie de Haguenau","3 rue de la Redoute","48.8106001","7.7954459","388","92817"
"Siège du Crédit Agricole Alsace","14 Boulevard de Metz","48.583563","7.7341316","389","15452"
"Vediorbis","4 Boulevard de Metz","48.58256410618464","7.733194828033447","391","92817"
"Ecole Nationale d'Administration (ENA)","1 rue Sainte Marguerite","48.58112860523674","7.737647294998169","393","82904"
"Cour de Lucerne","6 rue du Jeu de Paume","48.5783784","7.7575318","404","7672"
"Hôtel Vendôme","8 place de la Gare","48.58408836287548","7.736209847885107","412","92817"
"Hôtel Ibis","12 place de la Gare","48.5849196","7.7363402","413","NULL"
"Hôtel Mercure","15 place de la Gare","48.585376434235826","7.736601233482361","415","94996"
"Banque Populaire","5 Rue du Vingt-Deux Novembre","48.583044963270254","7.7420032024383545","416","92817"
"Cinéma Star Saint Exupéry","18 Rue du Vingt-Deux Novembre","48.58273977037357","7.742475271224976","417","24369"
"Caisse d'épargne","9 place Saint Thomas","48.58014023292596","7.745457887649536","427","77257"
"Eglise Saint Thomas (protestant)","2 rue Martin Luther","48.579659348206086","7.745382785797119","428","77864"
"Restaurant l'homme sauvage","58 rue Saint Urbain","48.5697958","7.7652536","435","92817"
"Villa Haas","9 rue des Sarcelles","48.54472885709641","7.7592068910598755","450","74591"
"Hôtel de la Région Alsace","1 rue du Wacken","48.598940835573835","7.760446071624756","461","NULL"
"Impôt Strasbourg sud","10 rue Simonis","48.56447629982661","7.758321762084961","473","92817"
"Travaux au 20 décembre 2005","12 rue Simonis","48.5645021","7.7587049","478","NULL"
"Sanofi Aventis","16 rue d' Ankara","48.57467633245035","7.770702838897705","481","92817"
"Résidence Le Manet","17 rue Jules Verne","48.5954699","7.7199241","482","92817"
"Printemps","1 rue de la Haute Montée","48.58457090011134","7.744460105895996","491","77334"
"Collège Louise Weiss","80 avenue Jean Jaurès","48.56754167290649","7.769254446029663","492","79823"
"Démolition","42 rue de saint Dié","48.5687568","7.7485659","495","NULL"
"Bureau de la banque CIAL (groupe CIC)","14 rue de la Nuée Bleue","48.585128033011514","7.74760365486145","498","92817"
"Gallia","1 boulevard de la Victoire","48.58441475985281","7.759319543838501","506","85473"
"Ecole des Arts Décoratifs","1 rue de l' Académie","48.582413282909044","7.758965492248535","508","53676"
"Travaux au 1 mars 2006","12 rue Simonis","48.5645021","7.7587049","516","NULL"
"Citroen","200 Avenue de Colmar","48.557885207297474","7.747281789779663","519","NULL"
"Hôtel Aux Trois chasses Mouches","3 Place de l' Hôpital","48.57745183344886","7.748976945877075","526","88453"
"Animalerie","1 Place de l' Hôpital","48.57638708125999","7.7447497844696045","528","110389"
"Histologie","1 Place de l' Hôpital","48.575109349031685","7.739245891571045","529","NULL"
"Photos historique","5 rue des Moulins","48.5804036","7.7420102","534","NULL"
"Faculté de médecine","11 rue Humann","48.57640837652353","7.738966941833496","537","78579"
"Lycée Louis Pasteur","24 rue Humann","48.57540748944005","7.737647294998169","538","92817"
"Villa Berthe","34 rue de la Kurvau","48.57003536860246","7.765864133834839","542","92817"
"Aménagement de grenier","22 rue de Bâle","48.5678025","7.764607","543","NULL"
"Grenier avant les travaux","22 rue de Bâle","48.5678025","7.764607","544","NULL"
"Villa Osterloff","10 rue des Arquebusiers","48.5912727","7.7602364","545","71907"
"Usine Junkers (ancienne)","33 rue du Maréchal-Lefèbvre","48.56142849225628","7.739224433898926","547","92817"
"Maison de retraite Bethesda","12 rue des Arquebusiers","48.59188765941019","7.760220766067505","562","92817"
"Ancien locaux de la Région Alsace","2 Boulevard Gambetta","48.59213602740918","7.756991386413574","563","89823"
"Travaux au 2 juin 2006","12 rue Simonis","48.5645021","7.7587049","567","NULL"
"Foyer de l'Etudiant Catholique (FEC)","17 place Saint Etienne","48.5830308","7.7544601","584","57129"
"Consulat de suisse","23 rue Herder","48.5887969","7.7679275","587","92817"
"Hôtel Rathsamhausen","9 rue des Dentelles","48.58119958275587","7.74312436580658","589","109318"
"Institut des hautes études européennes","10 rue Schiller","48.58990776799182","7.764930725097656","591","87020"
"Villa Clem's","9 rue Schiller","48.58961680966845","7.76458203792572","592","99047"
"RSI (anciennement retraite Organic)","91 route des Romains","48.57853785757886","7.709934711456299","593","92817"
"Poste Broglie","3 rue de la Fonderie","48.58661487355082","7.749470472335815","594","89852"
"Hôtel A la ville de Paris","27 rue des Frères","48.583044963270176","7.753265798091888","595","74222"
"Paroisse Saint Urbain","28 rue de Lièpvre","48.56847881994699","7.7690935134887695","597","92817"
"Palais des rohan","2 place du Château","48.58118538726002","7.752152681350708","598","68816"
"La poste centrale","5 avenue de la Marseillaise","48.585692256886624","7.756690979003906","599","98784"
"Cave à Havanes","21 Place Kléber","48.58343177487501","7.746938467025757","609","NULL"
"Hôtel Suisse","4 Rue de la Râpe","48.58149768724784","7.752817869186401","612","46952"
"Banque BNP","2 Rue du Dôme","48.58410957522738","7.749137878417969","620","92817"
"Paroisse Saint Arbogast","8 rue des Mérovingiens","48.572301773956454","7.718845009803772","632","92817"
"Consistoire Israelite du Bas-Rhin","23 rue Sellénick","48.591007717246264","7.7527642250061035","633","92817"
"Archive départementale","9 rue Fischart","48.58631679923959","7.765488624572754","638","NULL"
"Encendie","55 rue de Hochfelden","48.5955142","7.7277776","643","NULL"
"Intérieur de 1928","31 Place Kléber","48.5838295","7.746151","645","NULL"
"Mairie des quartiers Gare-Tribunal-Cathédrale","33 rue Kageneck","48.58624937742539","7.738720178604126","653","4031"
"Villa Wallaram","10 Avenue d' Alsace","48.58684197660795","7.760639190673828","659","104595"
"Musée historique","3 Place de la Grande Boucherie","48.5800043","7.7505636","660","92817"
"Lycee Professionnel et C.F.A Oberlin","4 rue de l' Académie","48.58146929641959","7.760059833526611","661","108705"
"Consulat général d'Allemagne","6 quai Mullenheim","48.58752505387059","7.762031257152557","663","92817"
